index;u;v;key;osmid;oneway;ref;name;highway;maxspeed;reversed;length;lanes;bridge;tunnel;fid;geometry;points
16;1837893264;1837893275;0;[837910365, 837910367];1;;五橋通;tertiary;;False;198.03900000000002;2;;;16;LINESTRING (140.8734672 38.2561736, 140.8735688 38.2561407, 140.8739801 38.256004, 140.8743153 38.2558903, 140.8746078 38.2557918, 140.8749349 38.2556755, 140.8751657 38.2555927, 140.8754097 38.2555154, 140.8755482 38.2554658);9
20;460436339;1258983761;0;110166348;1;;;unclassified;;False;61.794000000000004;;;;20;LINESTRING (140.8736778 38.2551673, 140.8736007 38.2551405, 140.8730298 38.2549439);3
23;301789618;1264086390;0;32896012;1;;五橋通;tertiary;;False;114.691;2;;;23;LINESTRING (140.8759457 38.2551037, 140.8757614 38.2553133, 140.8754946 38.2554052, 140.8748505 38.255616);4
25;2327862877;301789618;0;30614285;0;;北目町通;tertiary;;True;8.585;;;;25;LINESTRING (140.8760238 38.2551506, 140.8759457 38.2551037);2
30;1264086390;460436339;0;110166348;1;;;unclassified;;False;114.229;;;;30;LINESTRING (140.8748505 38.255616, 140.8747889 38.2555717, 140.8737493 38.2551951, 140.8736778 38.2551673);4
74;598389457;939225591;0;27489126;1;;;tertiary;;False;137.377;;;;74;LINESTRING (140.8912032 38.2568937, 140.8912202 38.2569799, 140.8914424 38.2581148);3
81;1256434359;1256434361;0;109841619;0;;;unclassified;;False;151.153;;;;81;LINESTRING (140.8790694 38.2575362, 140.8790982 38.2574864, 140.8797467 38.2563651, 140.8797852 38.2562985);4
95;1201358598;3731544705;0;38812469;0;;柳町通;tertiary;;True;128.29;;;;95;LINESTRING (140.8767811 38.2570456, 140.876634 38.2570118, 140.8753621 38.2567465);3
96;338511390;1201358498;0;837910348;0;;北目町通;tertiary;;True;15.868;;;;96;LINESTRING (140.8777689 38.2557108, 140.8775986 38.255661);2
98;338511390;338511386;0;837910348;0;;北目町通;tertiary;;False;129.642;;;;98;LINESTRING (140.8777689 38.2557108, 140.8779371 38.2557596, 140.8790851 38.2561022, 140.8791575 38.2561235);4
99;338511386;1256434361;0;837910348;0;;北目町通;tertiary;;False;58.172;;;;99;LINESTRING (140.8791575 38.2561235, 140.8792071 38.2561403, 140.8797852 38.2562985);3
100;338511386;338511390;0;837910348;0;;北目町通;tertiary;;True;129.642;;;;100;LINESTRING (140.8791575 38.2561235, 140.8790851 38.2561022, 140.8779371 38.2557596, 140.8777689 38.2557108);4
102;1256434361;338511389;0;837910348;0;;北目町通;tertiary;;False;60.055;;;;102;LINESTRING (140.8797852 38.2562985, 140.880426 38.2564947);2
103;1256434361;1256434359;0;109841619;0;;;unclassified;;True;151.153;;;;103;LINESTRING (140.8797852 38.2562985, 140.8797467 38.2563651, 140.8790982 38.2574864, 140.8790694 38.2575362);4
104;1256434361;338511386;0;837910348;0;;北目町通;tertiary;;True;58.172;;;;104;LINESTRING (140.8797852 38.2562985, 140.8792071 38.2561403, 140.8791575 38.2561235);3
105;338511388;338511389;0;30614284;1;;東四番丁線;unclassified;;False;145.386;;;;105;LINESTRING (140.8797221 38.2576796, 140.8797479 38.2576362, 140.8803878 38.2565589, 140.880426 38.2564947);4
108;338511389;1257468277;0;837910348;0;;北目町通;tertiary;;False;53.64;;;;108;LINESTRING (140.880426 38.2564947, 140.8809997 38.2566672);2
109;338511389;1256434361;0;837910348;0;;北目町通;tertiary;;True;60.055;;;;109;LINESTRING (140.880426 38.2564947, 140.8797852 38.2562985);2
111;1257468290;338511388;0;38812469;0;;柳町通;tertiary;;True;52.706;;;;111;LINESTRING (140.8803088 38.2577911, 140.8798394 38.2577018, 140.8797221 38.2576796);3
113;1257468277;1257468290;0;109963747;1;;;unclassified;;False;138.77;;;;113;LINESTRING (140.8809997 38.2566672, 140.880963 38.256727, 140.880334 38.2577502, 140.8803088 38.2577911);4
114;1257468277;482143616;0;837910348;0;;北目町通;tertiary;;False;55.795;;;;114;LINESTRING (140.8809997 38.2566672, 140.881479 38.2568045, 140.8816008 38.2568374);3
115;1201358498;338511390;0;837910348;0;;北目町通;tertiary;;False;15.868;;;;115;LINESTRING (140.8775986 38.255661, 140.8777689 38.2557108);2
116;1201358498;1201358598;0;32129531;1;286;東二番丁通;trunk;60;False;169.71400000000003;;;;116;LINESTRING (140.8775986 38.255661, 140.877512 38.2558155, 140.8768353 38.2569457, 140.8767811 38.2570456);4
117;1201358498;1256750688;0;837910348;0;;北目町通;tertiary;;True;74.986;;;;117;LINESTRING (140.8775986 38.255661, 140.8774521 38.2556162, 140.8767984 38.2554162);3
220;1256220810;1201448378;0;1010135933;1;;愛宕上杉通;tertiary;;False;220.591;3;;;220;LINESTRING (140.880056 38.2597623, 140.8805073 38.2590103, 140.8810636 38.2580636, 140.8811259 38.2579652);4
246;460427835;929220422;0;83629685;0;;;tertiary;;False;59.32;;;;246;LINESTRING (140.8864882 38.2619488, 140.8863418 38.2619754, 140.8858251 38.262065);3
335;370487222;7235868282;0;355761056;0;;国分町通;residential;;False;66.844;;;;335;LINESTRING (140.8716152 38.2576122, 140.8715771 38.257723, 140.8714221 38.2581939);3
336;370487222;370487223;0;840676891;0;;南町通;tertiary;40;True;116.125;4;;;336;LINESTRING (140.8716152 38.2576122, 140.8717197 38.2576379, 140.8727669 38.2578999, 140.8728823 38.2579295);4
338;7235868282;7235845294;0;355761056;0;;国分町通;residential;;False;59.231;;;;338;LINESTRING (140.8714221 38.2581939, 140.8712522 38.2587096);2
340;7235868282;370487222;0;355761056;0;;国分町通;residential;;True;66.844;;;;340;LINESTRING (140.8714221 38.2581939, 140.8715771 38.257723, 140.8716152 38.2576122);3
342;370487223;1201853930;0;38812456;0;;;tertiary;;False;66.781;;;;342;LINESTRING (140.8728823 38.2579295, 140.8729178 38.2578324, 140.8730831 38.25735);3
343;370487223;370487222;0;840676891;0;;南町通;tertiary;40;False;116.125;4;;;343;LINESTRING (140.8728823 38.2579295, 140.8727669 38.2578999, 140.8717197 38.2576379, 140.8716152 38.2576122);4
348;1201853930;1256287770;0;38812456;0;;;tertiary;;False;4.248;;;;348;LINESTRING (140.8730831 38.25735, 140.8730947 38.2573129);2
349;1201853930;370487223;0;38812456;0;;;tertiary;;True;66.781;;;;349;LINESTRING (140.8730831 38.25735, 140.8729178 38.2578324, 140.8728823 38.2579295);3
422;380407145;1837893274;0;38813261;1;;国分町通線;unclassified;;False;13.129;;;;422;LINESTRING (140.8719507 38.2565775, 140.8719125 38.2566917);2
425;1837893274;1837893264;0;[837984477, 837910367];1;;五橋通;tertiary;;False;147.524;2;;;425;LINESTRING (140.8719125 38.2566917, 140.8720217 38.2566624, 140.8722957 38.2565753, 140.8726726 38.2564489, 140.8730882 38.2563031, 140.8733238 38.2562172, 140.8734672 38.2561736);7
441;460426178;2176635312;0;83629685;0;;;tertiary;;True;93.21899999999998;;;;441;LINESTRING (140.8831553 38.2622902, 140.8832907 38.2622815, 140.8836061 38.26226, 140.8836478 38.2622586, 140.8836988 38.2622561, 140.8839302 38.262245, 140.8840529 38.2622389, 140.8842202 38.2622304);8
442;460426178;1257506968;0;104161237;0;;;tertiary;;False;68.328;;;;442;LINESTRING (140.8831553 38.2622902, 140.8831599 38.2623465, 140.8831757 38.2625082, 140.8831802 38.2625551, 140.8831908 38.2626641, 140.883202 38.2627788, 140.8832041 38.2628029, 140.8832053 38.2628177, 140.883213 38.262903);9
444;2176635312;460426178;0;83629685;0;;;tertiary;;False;93.21900000000001;;;;444;LINESTRING (140.8842202 38.2622304, 140.8840529 38.2622389, 140.8839302 38.262245, 140.8836988 38.2622561, 140.8836478 38.2622586, 140.8836061 38.26226, 140.8832907 38.2622815, 140.8831553 38.2622902);8
445;2176635312;460426269;0;83629685;0;;;tertiary;;True;83.208;;;;445;LINESTRING (140.8842202 38.2622304, 140.8850333 38.2621766, 140.8851693 38.2621633);3
447;1257506968;7851969486;0;104161237;0;;;tertiary;;False;40.575;;;;447;LINESTRING (140.883213 38.262903, 140.8832438 38.2632671);2
448;1257506968;460426178;0;104161237;0;;;tertiary;;True;68.328;;;;448;LINESTRING (140.883213 38.262903, 140.8832053 38.2628177, 140.8832041 38.2628029, 140.883202 38.2627788, 140.8831908 38.2626641, 140.8831802 38.2625551, 140.8831757 38.2625082, 140.8831599 38.2623465, 140.8831553 38.2622902);9
454;460426261;1263621671;0;83629685;0;;;tertiary;;False;72.142;;;;454;LINESTRING (140.8893793 38.2612826, 140.8892381 38.2613189, 140.8885855 38.2614624);3
461;1263621671;460493913;0;83629685;0;;;tertiary;;False;45.918;;;;461;LINESTRING (140.8885855 38.2614624, 140.8880845 38.261588);2
470;5844037486;460426261;0;373042365;0;;;tertiary;;True;192.394;;;;470;LINESTRING (140.8914567 38.2607057, 140.8906491 38.2609297, 140.8903718 38.2610078, 140.8895247 38.2612457, 140.8893793 38.2612826);5
471;460426269;2176635312;0;83629685;0;;;tertiary;;False;83.208;;;;471;LINESTRING (140.8851693 38.2621633, 140.8850333 38.2621766, 140.8842202 38.2622304);3
474;460426269;4757206765;0;1059604402;0;;東七番丁;tertiary;;True;84.966;;;;474;LINESTRING (140.8851693 38.2621633, 140.8851881 38.2622527, 140.8853091 38.2627571, 140.8853391 38.2629156);4
476;929220422;460426269;0;83629685;0;;;tertiary;;False;58.322;;;;476;LINESTRING (140.8858251 38.262065, 140.8853034 38.2621502, 140.8851693 38.2621633);3
482;4757206765;1256220780;0;[483124987, 483124988, 61576007];1;;;tertiary;;False;414.178;;yes;;482;LINESTRING (140.8853391 38.2629156, 140.8851868 38.2629273, 140.883817 38.2629946, 140.8825995 38.2630747, 140.8820469 38.2630832, 140.8816172 38.2630921, 140.8811667 38.2630958, 140.8807711 38.2630774, 140.8806042 38.2630688);9
494;460427919;460427835;0;83629685;0;;;tertiary;;False;9.665;;;;494;LINESTRING (140.8865959 38.2619287, 140.8864882 38.2619488);2
499;5794595710;460427919;0;83629685;0;;;tertiary;;False;53.967;;;;499;LINESTRING (140.8871923 38.2618015, 140.886719 38.2619061, 140.8865959 38.2619287);3
518;460493913;5794595710;0;83629685;0;;;tertiary;;False;81.439;;;;518;LINESTRING (140.8880845 38.261588, 140.8874328 38.2617474, 140.8871923 38.2618015);3
533;460436041;1837893264;0;[38812456, 837910375];0;;;tertiary;;False;19.357;;;;533;LINESTRING (140.8734225 38.2563441, 140.8734477 38.2562516, 140.8734672 38.2561736);3
534;460436041;1201853978;0;38812456;0;;;tertiary;;True;58.634;;;;534;LINESTRING (140.8734225 38.2563441, 140.8734066 38.2563878, 140.8732366 38.2568508);3
536;1201853978;1256287770;0;38812456;0;;;tertiary;;True;52.856;;;;536;LINESTRING (140.8732366 38.2568508, 140.8730947 38.2573129);2
537;1201853978;460436041;0;38812456;0;;;tertiary;;False;58.634;;;;537;LINESTRING (140.8732366 38.2568508, 140.8734066 38.2563878, 140.8734225 38.2563441);3
539;1259507947;460436041;0;38812469;0;;柳町通;tertiary;;True;121.036;;;;539;LINESTRING (140.8747618 38.2566248, 140.8735111 38.2563615, 140.8734225 38.2563441);3
541;1258983761;5797888756;0;612508321;1;;伊勢屋横丁線;unclassified;;False;141.535;;;;541;LINESTRING (140.8730298 38.2549439, 140.8724303 38.2561265);2
543;5797888756;1201380222;0;38812495;0;;柳町通;tertiary;;False;27.358;;;;543;LINESTRING (140.8724303 38.2561265, 140.8721267 38.2560657);2
648;460480300;1256220810;0;[899682360, 866721537, 866721544, 223945062];0;;['南町通', '駅前通'];tertiary;40;[False, True];180.391;['3', '4', '2'];;;648;LINESTRING (140.8811174 38.2608203, 140.8811146 38.2606773, 140.8810948 38.2601142, 140.8810688 38.2600455, 140.8809367 38.2600037, 140.880056 38.2597623);6
649;460480741;460480300;0;866721540;0;;駅前通;tertiary;40;False;22.876;4;;;649;LINESTRING (140.8811267 38.2610259, 140.8811174 38.2608203);2
653;764398139;460480741;0;[866721546, 866721547, 61082149];0;;駅前通;tertiary;40;True;78.87100000000001;['7', '5'];;;653;LINESTRING (140.880924 38.2617171, 140.8809507 38.2616239, 140.8810433 38.2612995, 140.8810686 38.2612176, 140.8811267 38.2610259);5
767;482143342;1257468290;0;38812469;0;;柳町通;tertiary;;True;61.143;;;;767;LINESTRING (140.8809835 38.2579383, 140.8808916 38.2579188, 140.8803088 38.2577911);3
769;1201448378;482143342;0;38812469;0;;柳町通;tertiary;;True;12.788;;;;769;LINESTRING (140.8811259 38.2579652, 140.8809835 38.2579383);2
771;482143616;1201448531;0;837910348;0;;北目町通;tertiary;;False;15.102;;;;771;LINESTRING (140.8816008 38.2568374, 140.8817105 38.2569424);2
773;482143616;1257468277;0;837910348;0;;北目町通;tertiary;;True;55.795;;;;773;LINESTRING (140.8816008 38.2568374, 140.881479 38.2568045, 140.8809997 38.2566672);3
776;1201448531;1256494435;0;1010135933;1;;愛宕上杉通;tertiary;;False;167.301;3;;;776;LINESTRING (140.8817105 38.2569424, 140.8817955 38.2567054, 140.881892 38.2563521, 140.8819166 38.256264, 140.8819502 38.2560961, 140.8818806 38.2556594, 140.8818428 38.2554649);7
846;504963906;1256494435;0;41294394;1;;新寺通;tertiary;;False;11.539;2;;;846;LINESTRING (140.881712 38.2554797, 140.8818428 38.2554649);2
848;1256494435;1256553895;0;109849970;1;;愛宕上杉通;tertiary;;False;5.941;3;;;848;LINESTRING (140.8818428 38.2554649, 140.8818302 38.2554124);2
849;1256494435;504964892;0;[104156241, 41294394, 104156245];1;;新寺通;tertiary;;False;170.604;2;;;849;LINESTRING (140.8818428 38.2554649, 140.8824865 38.2553913, 140.8828242 38.2553599, 140.883676 38.255246, 140.8837743 38.2552353);5
851;504964892;7851969497;0;104156244;1;;新寺通;tertiary;;False;182.908;2;;;851;LINESTRING (140.8837743 38.2552353, 140.8839071 38.2552267, 140.8839588 38.2552297, 140.8841027 38.2552381, 140.8842252 38.2552607, 140.8842317 38.2552619, 140.8843528 38.2552972, 140.8845224 38.2553798, 140.8846617 38.2554827, 140.8849184 38.2557163, 140.8853177 38.2560872, 140.8853438 38.2561129, 140.8853826 38.2561484);13
854;7851969497;5859002459;0;841579211;1;;新寺通;tertiary;;False;11.432;2;;;854;LINESTRING (140.8853826 38.2561484, 140.8854596 38.2561879, 140.8854924 38.2562044);3
879;504966247;929220418;0;27489126;1;;;tertiary;;False;94.639;;;;879;LINESTRING (140.8916604 38.2591509, 140.8916915 38.2593136, 140.8918194 38.2599928);3
880;938512925;504966268;0;80428643;1;;;tertiary;;False;10.326;;;;880;LINESTRING (140.8918026 38.2591373, 140.8917922 38.2590448);2
882;929220418;781724243;0;27489126;1;;;tertiary;;False;64.926;;;;882;LINESTRING (140.8918194 38.2599928, 140.8919132 38.2604199, 140.8919458 38.2605682);3
